stn,year,temp,dewp,slp,stp,visib,prcp
110010,2013,48.084848484848486,41.39151515151516,1016.7424242424241,944.1136363636364,999.9,29.21
110080,2013,47.84672619047618,41.186011904761905,1016.752380952381,945.8866071428571,999.9,27.130000000000003
110100,2013,49.626575342465756,42.79232876712329,9999.9,9999.9,5.962739726027398,2924.7699999999995
110120,2013,49.10465753424657,41.5772602739726,1016.6153424657534,970.1268493150684,210.43123287671233,42.089999999999996
110150,2013,48.18363095238095,41.66517857142856,1016.8916666666668,952.1660714285713,999.9,21.56
110161,2013,31.2,14.8,9999.9,9999.9,7.2,0.0
110162,2013,54.512121212121215,40.37713498622589,9999.9,9999.9,14.885399449035814,9799.019999999997
110165,2013,54.863880597014926,43.11970149253731,9999.9,9999.9,15.52089552238806,12598.739999999994
110180,2013,51.21815476190476,44.276190476190465,1016.713988095238,985.0988095238095,999.9,133.68000000000004
110190,2013,47.367559523809526,41.012499999999996,1016.8657738095238,945.3901785714287,23.44880952380953,23.29
110200,2013,46.67559523809524,41.44791666666667,1016.9625000000001,956.9651785714286,999.9,25.73
110210,2013,47.30268656716419,42.26835820895523,1016.6868656716417,951.086567164179,675.8826865671643,31.240000000000002
110220,2013,49.80027397260273,41.60876712328768,1015.7969863013698,977.5471232876713,999.9,18.19
110240,2013,45.31071428571429,38.883630952380955,9999.9,905.7345238095238,999.9,28.49
110300,2013,53.107100591715984,44.41242603550297,9920.096449704142,9919.901183431952,15.263017751479293,1225.94
110320,2013,51.762499999999996,43.581250000000004,1015.1866071428572,991.8127976190477,553.5550595238095,19.93
110340,2013,55.00565476190477,45.15327380952381,1016.3178571428572,995.0443452380952,999.9,27.089999999999993
110350,2013,51.77452054794521,42.95890410958904,1015.9915068493151,991.0197260273973,15.137534246575344,628.9299999999998
110360,2013,51.417534246575336,42.5586301369863,9999.9,9999.9,33.43534246575343,1926.5899999999997
110400,2013,53.014285714285705,44.052976190476194,1016.4860119047618,992.6339285714286,999.9,19.619999999999997
110510,2013,50.381845238095245,43.816964285714285,1016.4815476190477,970.3601190476192,999.9,37.47
