stn,year,f0_
110010,2012,47.41201117318437
110080,2012,46.60000000000001
110100,2012,50.00136612021857
110120,2012,49.61612021857924
110150,2012,46.68994413407819
110161,2012,49.35
110162,2012,55.4603825136612
110165,2012,54.20575342465753
110180,2012,49.84972067039105
110190,2012,46.46759776536314
110200,2012,45.52541899441339
110210,2012,45.96620111731841
110220,2012,50.82802197802196
110240,2012,44.25865921787709
110300,2012,52.489071038251346
110320,2012,50.84273743016759
110340,2012,54.149162011173196
110350,2012,52.531147540983596
110360,2012,51.90245901639345
110400,2012,52.17765363128492
110510,2012,49.1891061452514
110530,2012,48.84888268156424
110550,2012,49.132670454545455
110600,2012,50.958659217877084
110700,2012,50.91154929577465
110750,2012,50.72374301675976
110780,2012,47.03770949720671
110820,2012,52.52402234636872
111010,2012,50.20819672131147
111050,2012,50.284636871508376
111100,2012,35.15055865921787
111120,2012,47.53435754189945
111200,2012,48.53169398907104
111260,2012,33.36016483516483
111270,2012,36.624581005586606
111300,2012,48.39480874316942
111360,2012,43.60279329608938
111370,2012,44.489385474860335
111380,2012,32.286072423398345
111410,2012,46.594413407821214
111420,2012,47.51982758620691
111440,2012,47.4617486338798
111460,2012,24.68445121951219
111470,2012,44.537150837988825
111480,2012,42.443175487465176
111490,2012,37.290223463687134
111500,2012,49.68278688524591
111520,2012,48.67346368715083
111530,2012,48.29776536312848
111540,2012,49.80083798882681
111550,2012,39.564754098360666
111570,2012,46.819945355191265
111650,2012,47.253278688524595
111700,2012,45.40837988826815
111730,2012,44.995170454545445
111740,2012,46.99625360230547
111800,2012,39.30530726256984
111820,2012,51.10307262569832
111850,2012,45.63567415730337
111900,2012,52.51612021857924
111920,2012,50.39413407821229
111940,2012,52.910055865921784
112040,2012,48.361917808219204
112120,2012,35.64917582417582
112130,2012,49.33184357541898
112250,2012,45.47458100558658
112290,2012,48.36508379888269
112310,2012,49.32295081967215
112320,2012,48.36564245810057
112400,2012,50.40355191256832
112410,2012,40.755027932960886
112440,2012,51.128961748633884
112480,2012,51.55446927374302
112520,2012,43.368786127167645
